iter	Passed	Remaining
909	42716	4224
910	42759	4177
911	42804	4130
912	42847	4082
913	42913	4037
914	42960	3990
915	43017	3944
916	43071	3898
917	43112	3851
918	43155	3803
919	43207	3757
920	43259	3710
921	43303	3663
922	43352	3616
923	43397	3569
924	43445	3522
925	43484	3474
926	43522	3427
927	43567	3380
928	43608	3332
929	43648	3285
930	43691	3238
931	43737	3191
932	43785	3144
933	43837	3097
934	43898	3051
935	43954	3005
936	43997	2958
937	44047	2911
938	44088	2864
939	44133	2817
940	44192	2770
941	44236	2723
942	44287	2676
943	44337	2630
944	44377	2582
945	44419	2535
946	44467	2488
947	44512	2441
948	44555	2394
949	44599	2347
950	44638	2300
951	44681	2252
952	44740	2206
953	44781	2159
954	44824	2112
955	44868	2065
956	44912	2018
957	44951	1970
958	44999	1923
959	45048	1877
960	45094	1830
961	45144	1783
962	45196	1736
963	45245	1689
964	45297	1642
965	45344	1595
966	45395	1549
967	45439	1502
968	45491	1455
969	45539	1408
970	45579	1361
971	45628	1314
972	45675	1267
973	45730	1220
974	45772	1173
975	45809	1126
976	45865	1079
977	45916	1032
978	45959	985
979	45998	938
980	46042	891
981	46088	844
982	46137	797
983	46180	750
984	46220	703
985	46262	656
986	46317	610
987	46355	563
988	46409	516
989	46452	469
990	46494	422
991	46539	375
992	46586	328
993	46647	281
994	46719	234
995	46763	187
996	46803	140
997	46852	93
998	46895	46
999	46944	0
